modelo,sampler,auc_mean,auc_std,t_fit_mean,t_pred_mean,folds_validos
KDE Gauss (Silverman),under,0.920719261644088,0.009053652514136704,0.0009322800004156306,0.2358790799993585,5
GaussianNB,under,0.9004386092950647,0.008780486334368414,0.000551860000268789,0.0005564199997024844,5
KDE Gauss (bw=0.6),under,0.8337343716185144,0.014209528382237605,0.0017929399997228756,0.13372832000022755,5
"KDE Parzen (tophat, bw=0.8)",under,,,0.002133680000406457,0.05356969999993453,0
