modelo,sampler,auc_mean,auc_std,t_fit_mean,t_pred_mean,folds_validos
KDE Gauss (Silverman),over,0.9223041584352718,0.015031818922203097,0.0014070800003537442,6.364908300000025,5
GaussianNB,over,0.8999678188494047,0.012155247179157697,0.0017425799996999558,0.0006877200001326855,5
KDE Gauss (bw=0.6),over,0.8430015440971083,0.020500710260775618,0.016055920000144396,4.212803100000383,5
"KDE Parzen (tophat, bw=0.8)",over,,,0.01624993999939761,0.7090078200002609,0
