model,AUC_mean,AUC_std,fit_mean_s,pred_mean_s
GNB,0.8676061162636364,0.03000949014878818,0.00116039999993518,0.00045935999987705144
KDE-NB,0.9222101283136057,0.011024703802057586,0.002408579999973881,4.248832279999988
