stock,n_test,MSE,RMSE,MAE,MAPE_%,R2
A,1,9.617071111111062e+17,980666666.6666641,980666666.6666641,70.95996140858641,
ZIXI,1,261188695111112.4,16161333.333333373,16161333.333333373,121.06774539915628,
ZYXI,1,1332485444445.9124,1154333.333333969,1154333.333333969,8.221747388418583,
ALL,3,3.206565440972206e+17,566265436.0785414,332660777.77777714,66.74981806538707,0.22929816496759825
