stock,n_train,n_test,coef,intercept,baseline_if_true
A,3,1,-57534.24657534244,44786291324.20089,False
ZIXI,3,1,893.1506849315065,-629120417.3515979,False
ZYXI,3,1,13535.616438356163,-9966294083.10502,False
