stock,endDate,cash
ACTG,2016-12-31,127540000.0
ACTG,2017-12-31,136604000.0
ACTG,2018-12-31,128809000.0
ACTG,2019-12-31,57359000.0
ACTT,2019-12-31,1005831.0
ACU,2016-12-31,5910770.0
ACU,2017-12-31,9338269.0
ACU,2018-12-31,4409042.0
ACU,2019-12-31,6821883.0
ACY,2016-12-31,2194400.0
ACY,2017-12-31,8657800.0
ACY,2018-12-31,1542500.0
ACY,2019-12-31,2350200.0
ADAP,2016-12-31,158779000.0
ADAP,2017-12-31,84043000.0
ADAP,2018-12-31,68379000.0
ADAP,2019-12-31,50412000.0
ADBE,2016-12-02,1011315000.0
ADBE,2017-12-01,2306072000.0
ADBE,2018-11-30,1642775000.0
ADBE,2019-11-29,2650221000.0
ADC,2016-12-31,33395000.0
ADC,2017-12-31,50807000.0
ADC,2018-12-31,53955000.0
ADC,2019-12-31,15603000.0
ADCT,2017-12-31,262752000.0
ADCT,2018-12-31,138807000.0
ADCT,2019-12-31,115551000.0
ADES,2016-12-31,13208000.0
ADES,2017-12-31,30693000.0
ADES,2018-12-31,18577000.0
ADES,2019-12-31,12080000.0
ADI,2016-10-29,921132000.0
ADI,2017-10-28,1047838000.0
ADI,2018-11-03,816591000.0
ADI,2019-11-02,648322000.0
ADIL,2016-12-31,87993.0
ADIL,2017-12-31,18248.0
ADIL,2018-12-31,3869043.0
ADIL,2019-12-31,6777052.0
ADM,2016-12-31,619000000.0
ADM,2017-12-31,804000000.0
ADM,2018-12-31,1997000000.0
ADM,2019-12-31,852000000.0
ADMA,2016-12-31,9914867.0
ADMA,2017-12-31,43107574.0
ADMA,2018-12-31,22754852.0
ADMA,2019-12-31,26752135.0
ADMP,2016-12-31,4090651.0
ADMP,2017-12-31,17323241.0
ADMP,2018-12-31,19271642.0
ADMP,2019-12-31,8810636.0
ADMS,2016-12-31,23735000.0
ADMS,2017-12-31,91316000.0
ADMS,2018-12-31,56605000.0
ADMS,2019-12-31,65774000.0
ADNT,2016-09-30,105000000.0
ADNT,2017-09-30,709000000.0
ADNT,2018-09-30,687000000.0
ADNT,2019-09-30,924000000.0
ADP,2016-06-30,3191100000.0
ADP,2017-06-30,2780400000.0
ADP,2018-06-30,2170000000.0
ADP,2019-06-30,1949200000.0
ADPT,2017-12-31,85305000.0
ADPT,2018-12-31,55030000.0
ADPT,2019-12-31,96576000.0
ADRO,2016-12-31,74932000.0
ADRO,2017-12-31,157614000.0
ADRO,2018-12-31,126310000.0
ADRO,2019-12-31,59624000.0
ADS,2016-12-31,1859200000.0
ADS,2017-12-31,4190000000.0
ADS,2018-12-31,3817400000.0
ADS,2019-12-31,3874400000.0
ADSK,2017-01-31,1213100000.0
ADSK,2018-01-31,1078000000.0
ADSK,2019-01-31,886000000.0
ADSK,2020-01-31,1774700000.0
ADSW,2016-12-31,1200000.0
ADSW,2017-12-31,6800000.0
ADSW,2018-12-31,6800000.0
ADSW,2019-12-31,12500000.0
ADT,2016-12-31,75891000.0
ADT,2017-12-31,122899000.0
ADT,2018-12-31,363177000.0
ADT,2019-12-31,48736000.0
ADTN,2016-12-31,79895000.0
ADTN,2017-12-31,86433000.0
ADTN,2018-12-31,105504000.0
ADTN,2019-12-31,73773000.0
ADUS,2015-12-31,4104000.0
ADUS,2016-12-31,8013000.0
ADUS,2017-12-31,53754000.0
ADUS,2018-12-31,70406000.0
ADVM,2016-12-31,222170000.0
ADVM,2017-12-31,70519000.0
ADVM,2018-12-31,154949000.0
ADVM,2019-12-31,65897000.0
ADXS,2016-10-31,112750980.0
ADXS,2017-10-31,23900000.0
ADXS,2018-10-31,44141000.0
ADXS,2019-10-31,32363000.0
AE,2016-12-31,87342000.0
AE,2017-12-31,109393000.0
AE,2018-12-31,117066000.0
AE,2019-12-31,112994000.0
AEE,2016-12-31,9000000.0
AEE,2017-12-31,10000000.0
AEE,2018-12-31,16000000.0
AEE,2019-12-31,16000000.0
AEF,2016-12-31,521594.0
AEF,2017-12-31,504942.0
AEF,2018-12-31,153936.0
AEF,2019-12-31,293497.0
AEGN,2016-12-31,129500000.0
AEGN,2017-12-31,105717000.0
AEGN,2018-12-31,83527000.0
AEGN,2019-12-31,64874000.0
AEHR,2016-05-31,939000.0
AEHR,2017-05-31,17803000.0
AEHR,2018-05-31,16848000.0
AEHR,2019-05-31,5428000.0
AEIS,2016-12-31,281953000.0
